sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Mph);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.0;-9.0;2.0;2.0;-9.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;6.0;47.0;-9.0;313.0;75.0;-45.0;0.0;28.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 10;150007;2018-07-25 07:34:31:601
4.0;-9.0;2.0;3.0;-9.0;2.0;-2.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;47.0;-9.0;318.0;72.0;-54.0;0.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 10;150508;2018-07-25 07:34:32:102
-2.0;-13.0;-1.0;1.0;-9.0;3.0;-4.0;-3.0;-5.0;-1.0;1.0;1.0;4.0;12.0;45.0;-9.0;304.0;70.0;-13.0;0.0;46.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 10;151007;2018-07-25 07:34:32:601
-8.0;-7.0;2.0;-6.0;-7.0;1.0;-2.0;1.0;-4.0;-1.0;-2.0;2.0;11.0;37.0;30.0;9.0;252.0;48.0;77.0;0.0;50.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 10;151508;2018-07-25 07:34:33:102
-6.0;-1.0;11.0;-6.0;-3.0;7.0;-3.0;1.0;1.0;2.0;-2.0;1.0;11.0;35.0;7.0;-25.0;244.0;21.0;40.0;2.0;40.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;152007;2018-07-25 07:34:33:601
1.0;6.0;5.0;2.0;6.0;7.0;-1.0;-1.0;-2.0;1.0;0.0;0.0;87.0;3.0;-36.0;-26.0;222.0;-41.0;-15.0;2.0;27.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;152507;2018-07-25 07:34:34:101
2.0;6.0;8.0;2.0;6.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;124.0;3.0;-34.0;-28.0;225.0;-40.0;-16.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 10;153008;2018-07-25 07:34:34:602
-3.0;4.0;5.0;2.0;6.0;7.0;-5.0;-2.0;-1.0;1.0;2.0;1.0;81.0;2.0;-37.0;-25.0;214.0;-36.0;-21.0;2.0;26.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 10;153508;2018-07-25 07:34:35:102
5.0;5.0;13.0;3.0;5.0;7.0;-1.0;-1.0;3.0;-1.0;0.0;0.0;81.0;-6.0;-37.0;-26.0;199.0;-34.0;-25.0;2.0;54.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;154008;2018-07-25 07:34:35:602
1.0;-1.0;15.0;-1.0;0.0;10.0;-3.0;-1.0;2.0;-2.0;2.0;2.0;52.0;14.0;-12.0;-38.0;216.0;1.0;5.0;2.0;26.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;154508;2018-07-25 07:34:36:102
0.0;0.0;9.0;-1.0;0.0;10.0;1.0;0.0;-1.0;-1.0;-1.0;1.0;52.0;9.0;-17.0;-38.0;199.0;-1.0;5.0;2.0;27.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;155008;2018-07-25 07:34:36:602
2.0;1.0;7.0;2.0;2.0;9.0;0.0;-1.0;-3.0;0.0;1.0;-2.0;12.0;-1.0;-23.0;-39.0;208.0;-10.0;-14.0;2.0;29.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;155508;2018-07-25 07:34:37:102
-1.0;2.0;9.0;0.0;2.0;10.0;-1.0;0.0;0.0;1.0;0.0;0.0;6.0;15.0;-9.0;-40.0;262.0;-8.0;-2.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;156007;2018-07-25 07:34:37:601
0.0;2.0;10.0;1.0;3.0;9.0;-1.0;0.0;1.0;0.0;0.0;0.0;6.0;15.0;-13.0;-39.0;261.0;-15.0;-4.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;156507;2018-07-25 07:34:38:101
-1.0;1.0;8.0;0.0;3.0;9.0;-1.0;-2.0;-1.0;0.0;2.0;3.0;107.0;17.0;-17.0;-36.0;249.0;-16.0;-1.0;2.0;28.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;157008;2018-07-25 07:34:38:602
3.0;2.0;13.0;2.0;2.0;10.0;1.0;1.0;3.0;-1.0;-1.0;-1.0;120.0;8.0;-18.0;-40.0;233.0;-12.0;-9.0;2.0;28.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;157507;2018-07-25 07:34:39:101
0.0;4.0;9.0;1.0;4.0;9.0;-1.0;0.0;0.0;0.0;0.0;0.0;127.0;13.0;-20.0;-37.0;257.0;-23.0;-8.0;2.0;27.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;158007;2018-07-25 07:34:39:601
1.0;4.0;9.0;1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;130.0;13.0;-20.0;-38.0;256.0;-23.0;-8.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;5 / 9;158507;2018-07-25 07:34:40:101
1.0;4.0;9.0;1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;130.0;12.0;-21.0;-36.0;251.0;-23.0;-8.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;159007;2018-07-25 07:34:40:601
1.0;4.0;9.0;1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;112.0;12.0;-22.0;-37.0;246.0;-22.0;-8.0;2.0;24.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;159507;2018-07-25 07:34:41:101
1.0;3.0;9.0;1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0;12.0;-21.0;-37.0;248.0;-21.0;-8.0;2.0;27.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 6;160007;2018-07-25 07:34:41:601
1.0;4.0;10.0;1.0;3.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;105.0;13.0;-20.0;-38.0;249.0;-20.0;-9.0;2.0;24.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 6;160507;2018-07-25 07:34:42:101
1.0;3.0;9.0;1.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0;12.0;-20.0;-38.0;249.0;-20.0;-8.0;2.0;37.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 6;161007;2018-07-25 07:34:42:601
2.0;3.0;9.0;2.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;118.0;8.0;-21.0;-39.0;249.0;-21.0;-15.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 6;161507;2018-07-25 07:34:43:101
2.0;3.0;9.0;2.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;107.0;9.0;-20.0;-39.0;247.0;-19.0;-13.0;2.0;26.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 6;162008;2018-07-25 07:34:43:602
1.0;3.0;10.0;2.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0;10.0;-21.0;-38.0;243.0;-19.0;-10.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 6;162508;2018-07-25 07:34:44:102
1.0;3.0;10.0;1.0;3.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;109.0;11.0;-19.0;-38.0;245.0;-17.0;-9.0;2.0;24.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;163008;2018-07-25 07:34:44:602
1.0;3.0;9.0;1.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;109.0;11.0;-20.0;-38.0;247.0;-19.0;-9.0;2.0;25.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;163508;2018-07-25 07:34:45:102
1.0;3.0;9.0;2.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;104.0;10.0;-21.0;-38.0;250.0;-22.0;-12.0;2.0;26.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;164008;2018-07-25 07:34:45:602
2.0;4.0;9.0;2.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0;9.0;-21.0;-38.0;251.0;-23.0;-13.0;2.0;39.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;164508;2018-07-25 07:34:46:102
4.0;2.0;9.0;2.0;3.0;9.0;2.0;-1.0;0.0;0.0;0.0;-1.0;123.0;9.0;-12.0;-40.0;268.0;-17.0;-13.0;2.0;29.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;165007;2018-07-25 07:34:46:601
1.0;3.0;10.0;3.0;4.0;9.0;-2.0;-1.0;1.0;0.0;-1.0;-1.0;123.0;3.0;-3.0;-39.0;307.0;-22.0;-17.0;2.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;165507;2018-07-25 07:34:47:101
4.0;4.0;7.0;4.0;5.0;7.0;0.0;-1.0;0.0;0.0;0.0;0.0;119.0;-8.0;-3.0;-36.0;329.0;-31.0;-27.0;2.0;34.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;166007;2018-07-25 07:34:47:601
3.0;5.0;9.0;3.0;4.0;9.0;0.0;2.0;0.0;-1.0;1.0;0.0;101.0;-1.0;-1.0;-37.0;327.0;-25.0;-19.0;2.0;36.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;166507;2018-07-25 07:34:48:101
1.0;3.0;9.0;1.0;1.0;10.0;-1.0;2.0;-1.0;0.0;0.0;0.0;107.0;-1.0;13.0;-34.0;347.0;-6.0;-8.0;2.0;34.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;167008;2018-07-25 07:34:48:602
2.0;1.0;9.0;1.0;1.0;10.0;1.0;0.0;-1.0;0.0;0.0;0.0;95.0;-6.0;19.0;-34.0;6.0;-5.0;-7.0;2.0;34.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;167507;2018-07-25 07:34:49:101
1.0;1.0;8.0;1.0;3.0;9.0;1.0;-1.0;-1.0;0.0;0.0;-1.0;95.0;-13.0;11.0;-35.0;26.0;-16.0;-5.0;2.0;32.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;168008;2018-07-25 07:34:49:602
6.0;1.0;8.0;3.0;4.0;8.0;2.0;-3.0;0.0;-2.0;-1.0;-2.0;211.0;-29.0;-4.0;-25.0;55.0;-25.0;-21.0;2.0;29.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;168508;2018-07-25 07:34:50:102
8.0;1.0;-1.0;9.0;3.0;2.0;-1.0;-3.0;-2.0;-2.0;-6.0;0.0;442.0;-32.0;-6.0;13.0;78.0;-20.0;-78.0;2.0;38.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;169007;2018-07-25 07:34:50:601
5.0;0.0;-4.0;7.0;1.0;-7.0;-2.0;-1.0;3.0;-1.0;0.0;1.0;29.0;10.0;-21.0;15.0;138.0;-5.0;-137.0;2.0;26.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;169508;2018-07-25 07:34:51:102
8.0;-2.0;-5.0;7.0;0.0;-6.0;0.0;-2.0;1.0;0.0;-1.0;1.0;25.0;13.0;-34.0;18.0;147.0;2.0;-131.0;2.0;30.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;170008;2018-07-25 07:34:51:602
7.0;0.0;-6.0;7.0;0.0;-7.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;13.0;-41.0;6.0;162.0;2.0;-133.0;2.0;48.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;170507;2018-07-25 07:34:52:101
9.0;-3.0;-7.0;7.0;-1.0;-6.0;0.0;-2.0;0.0;0.0;1.0;0.0;23.0;6.0;-39.0;10.0;164.0;7.0;-131.0;2.0;32.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;171007;2018-07-25 07:34:52:601
6.0;2.0;12.0;6.0;0.0;8.0;-1.0;1.0;4.0;0.0;2.0;-1.0;21.0;1.0;-15.0;-32.0;236.0;-3.0;-48.0;2.0;35.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;171507;2018-07-25 07:34:53:101
2.0;5.0;5.0;2.0;6.0;8.0;1.0;-1.0;-2.0;3.0;-1.0;0.0;172.0;8.0;-28.0;-20.0;220.0;-33.0;-11.0;2.0;30.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;172008;2018-07-25 07:34:53:602
0.0;9.0;-2.0;0.0;9.0;3.0;0.0;0.0;-5.0;1.0;0.0;0.0;172.0;14.0;-34.0;-5.0;242.0;-72.0;-8.0;2.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;172507;2018-07-25 07:34:54:101
0.0;9.0;5.0;0.0;8.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0;16.0;-26.0;-19.0;281.0;-60.0;1.0;2.0;33.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;173008;2018-07-25 07:34:54:602
1.0;8.0;5.0;0.0;8.0;6.0;0.0;1.0;-2.0;1.0;0.0;0.0;106.0;14.0;-24.0;-23.0;283.0;-51.0;-3.0;2.0;35.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;173507;2018-07-25 07:34:55:101
1.0;8.0;6.0;0.0;8.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;240.0;14.0;-25.0;-24.0;284.0;-54.0;-4.0;2.0;34.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;174007;2018-07-25 07:34:55:601
0.0;6.0;11.0;4.0;8.0;5.0;-3.0;-2.0;6.0;2.0;0.0;2.0;172.0;-1.0;-31.0;-23.0;247.0;-50.0;-41.0;2.0;33.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;174507;2018-07-25 07:34:56:101
2.0;5.0;8.0;2.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;8.0;-14.0;-35.0;282.0;-29.0;-14.0;2.0;37.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;175008;2018-07-25 07:34:56:602
1.0;5.0;8.0;2.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;121.0;10.0;-15.0;-34.0;284.0;-32.0;-11.0;2.0;34.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;175508;2018-07-25 07:34:57:102
1.0;5.0;9.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;384.0;12.0;-14.0;-33.0;281.0;-30.0;-8.0;2.0;37.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;176007;2018-07-25 07:34:57:601
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;384.0;13.0;-17.0;-31.0;277.0;-34.0;-6.0;2.0;30.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;176508;2018-07-25 07:34:58:102
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;311.0;12.0;-18.0;-31.0;272.0;-32.0;-7.0;2.0;41.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;177008;2018-07-25 07:34:58:602
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;311.0;12.0;-18.0;-31.0;271.0;-33.0;-9.0;2.0;34.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;177508;2018-07-25 07:34:59:102
1.0;6.0;9.0;1.0;5.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;309.0;13.0;-17.0;-30.0;274.0;-33.0;-8.0;2.0;33.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;178007;2018-07-25 07:34:59:601
1.0;5.0;9.0;1.0;5.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;325.0;10.0;-18.0;-32.0;270.0;-31.0;-9.0;2.0;39.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;178508;2018-07-25 07:35:00:102
1.0;5.0;9.0;1.0;5.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;360.0;10.0;-18.0;-31.0;270.0;-32.0;-8.0;2.0;32.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;179008;2018-07-25 07:35:00:602
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;360.0;9.0;-19.0;-31.0;269.0;-33.0;-8.0;2.0;33.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;179508;2018-07-25 07:35:01:102
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;349.0;8.0;-21.0;-31.0;263.0;-33.0;-8.0;2.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;180008;2018-07-25 07:35:01:602
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;8.0;-21.0;-29.0;257.0;-33.0;-8.0;2.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;180510;2018-07-25 07:35:02:104
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;335.0;7.0;-21.0;-28.0;254.0;-33.0;-8.0;2.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;181007;2018-07-25 07:35:02:601
1.0;5.0;8.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;331.0;7.0;-20.0;-29.0;261.0;-33.0;-8.0;2.0;30.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;181507;2018-07-25 07:35:03:101
1.0;5.0;9.0;1.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;331.0;8.0;-19.0;-28.0;261.0;-32.0;-6.0;2.0;30.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;182008;2018-07-25 07:35:03:602
1.0;5.0;7.0;1.0;5.0;8.0;0.0;0.0;-1.0;0.0;0.0;0.0;335.0;8.0;-19.0;-29.0;262.0;-32.0;-6.0;2.0;29.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;182508;2018-07-25 07:35:04:102
6.0;7.0;7.0;3.0;5.0;8.0;3.0;2.0;-1.0;0.0;-2.0;-1.0;346.0;1.0;-18.0;-32.0;267.0;-30.0;-13.0;2.0;29.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;183007;2018-07-25 07:35:04:601
1.0;6.0;8.0;-1.0;5.0;9.0;2.0;1.0;-1.0;0.0;1.0;0.0;346.0;15.0;-18.0;-32.0;272.0;-29.0;4.0;2.0;42.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;183507;2018-07-25 07:35:05:101
1.0;4.0;11.0;1.0;4.0;9.0;0.0;0.0;2.0;0.0;-1.0;0.0;263.0;7.0;-15.0;-35.0;276.0;-25.0;-5.0;2.0;56.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;184007;2018-07-25 07:35:05:601
1.0;6.0;8.0;1.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;263.0;5.0;-22.0;-31.0;263.0;-36.0;-10.0;2.0;31.0;42.49;-83.42;;863.3684186351546;4.0;1497.53;317.0;0 / 7;184507;2018-07-25 07:35:06:101
1.0;4.0;6.0;1.0;4.0;9.0;0.0;0.0;-2.0;0.0;1.0;0.0;466.0;7.0;-14.0;-36.0;268.0;-21.0;-7.0;2.0;31.0;42.49;-83.42;795.0;861.8768818874807;3.0;154.84;143.0;5 / 11;185007;2018-07-25 07:35:06:601
1.0;7.0;3.0;1.0;4.0;9.0;0.0;2.0;-5.0;0.0;0.0;0.0;636.0;7.0;-21.0;-33.0;248.0;-27.0;-6.0;2.0;54.0;42.49;-83.42;795.0;861.8768818874807;3.0;154.84;143.0;5 / 11;185508;2018-07-25 07:35:07:102
2.0;4.0;9.0;3.0;4.0;9.0;-1.0;0.0;0.0;1.0;0.0;0.0;335.0;-1.0;-18.0;-34.0;253.0;-22.0;-19.0;2.0;50.0;42.49;-83.42;780.0;861.8768818874807;1.0;154.84;283.0;6 / 8;186008;2018-07-25 07:35:07:602
2.0;5.0;8.0;3.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;335.0;1.0;-22.0;-31.0;252.0;-32.0;-19.0;2.0;26.0;42.49;-83.42;780.0;861.8768818874807;1.0;154.84;283.0;6 / 8;186509;2018-07-25 07:35:08:103
3.0;6.0;8.0;2.0;5.0;8.0;0.0;0.0;-1.0;0.0;-1.0;0.0;516.0;3.0;-21.0;-32.0;260.0;-32.0;-14.0;2.0;24.0;42.49;-83.42;;861.8768818874807;1.0;14574.49;283.0;0 / 8;187008;2018-07-25 07:35:08:602
3.0;4.0;8.0;2.0;4.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;445.0;2.0;-17.0;-34.0;263.0;-26.0;-16.0;2.0;32.0;42.49;-83.42;;861.8768818874807;1.0;14574.49;283.0;0 / 8;187508;2018-07-25 07:35:09:102
4.0;6.0;5.0;4.0;5.0;8.0;2.0;2.0;-3.0;1.0;0.0;-1.0;469.0;-6.0;-23.0;-29.0;232.0;-29.0;-28.0;2.0;32.0;42.49;-83.42;;861.8768818874807;1.0;14574.49;283.0;5 / 12;188007;2018-07-25 07:35:09:601
4.0;6.0;7.0;4.0;5.0;8.0;0.0;1.0;-1.0;0.0;1.0;1.0;331.0;-8.0;-26.0;-25.0;206.0;-28.0;-29.0;2.0;35.0;42.49;-83.42;;861.8768818874807;1.0;14574.49;283.0;5 / 12;188507;2018-07-25 07:35:10:101
6.0;3.0;10.0;3.0;2.0;9.0;3.0;0.0;1.0;0.0;0.0;1.0;331.0;-11.0;-22.0;-28.0;180.0;-14.0;-22.0;2.0;35.0;42.49;-83.42;;861.8768818874807;1.0;14574.49;283.0;5 / 13;189008;2018-07-25 07:35:10:602
3.0;3.0;8.0;3.0;2.0;9.0;0.0;1.0;-1.0;0.0;0.0;1.0;92.0;-17.0;-24.0;-30.0;161.0;-12.0;-20.0;2.0;36.0;42.49;-83.42;;861.8768818874807;1.0;14574.49;283.0;5 / 13;189508;2018-07-25 07:35:11:102
3.0;1.0;7.0;4.0;1.0;9.0;-1.0;-1.0;-1.0;1.0;1.0;0.0;9.0;-21.0;-27.0;-29.0;164.0;-6.0;-25.0;2.0;37.0;42.49;-83.42;;861.8768818874807;1.0;17554.14;257.0;5 / 13;190008;2018-07-25 07:35:11:602
3.0;0.0;11.0;2.0;2.0;9.0;1.0;-2.0;2.0;-1.0;1.0;-2.0;9.0;-9.0;-33.0;-36.0;179.0;-10.0;-13.0;2.0;34.0;42.49;-83.42;;861.8768818874807;1.0;17554.14;257.0;5 / 13;190507;2018-07-25 07:35:12:101
4.0;2.0;13.0;1.0;4.0;9.0;2.0;-1.0;2.0;-1.0;-1.0;-2.0;40.0;9.0;-37.0;-35.0;208.0;-22.0;-7.0;2.0;36.0;42.49;-83.42;;861.8768818874807;1.0;17554.14;257.0;5 / 13;191007;2018-07-25 07:35:12:601
0.0;7.0;6.0;0.0;6.0;8.0;0.0;2.0;-2.0;0.0;0.0;-1.0;40.0;26.0;-30.0;-34.0;259.0;-35.0;-2.0;2.0;27.0;42.49;-83.42;;861.8768818874807;1.0;17554.14;257.0;5 / 13;191507;2018-07-25 07:35:13:101
2.0;7.0;10.0;1.0;6.0;8.0;2.0;1.0;2.0;0.0;-1.0;-2.0;87.0;23.0;-21.0;-41.0;278.0;-36.0;-4.0;2.0;25.0;42.49;-83.42;736.0;861.8768818874807;1.0;103.23;167.0;9 / 9;192007;2018-07-25 07:35:13:601
1.0;8.0;8.0;1.0;6.0;8.0;0.0;2.0;0.0;0.0;-1.0;-1.0;85.0;9.0;-13.0;-49.0;318.0;-37.0;-8.0;2.0;25.0;42.49;-83.42;736.0;861.8768818874807;1.0;103.23;167.0;9 / 9;192507;2018-07-25 07:35:14:101
1.0;8.0;8.0;1.0;7.0;7.0;-1.0;1.0;1.0;1.0;-1.0;0.0;18.0;2.0;-17.0;-50.0;333.0;-41.0;-9.0;2.0;24.0;42.49;-83.42;741.0;861.8768818874807;1.0;103.23;227.0;8 / 10;193007;2018-07-25 07:35:14:601
2.0;8.0;8.0;1.0;7.0;7.0;0.0;1.0;1.0;0.0;0.0;0.0;18.0;-2.0;-18.0;-47.0;345.0;-45.0;-9.0;2.0;23.0;42.49;-83.42;741.0;861.8768818874807;1.0;103.23;227.0;8 / 10;193507;2018-07-25 07:35:15:101
1.0;7.0;6.0;1.0;7.0;7.0;0.0;0.0;-1.0;0.0;0.0;0.0;58.0;-2.0;-12.0;-46.0;350.0;-42.0;-7.0;2.0;25.0;42.49;-83.42;743.0;861.8768818874807;1.0;77.42;216.0;9 / 10;194008;2018-07-25 07:35:15:602
-1.0;8.0;5.0;1.0;7.0;7.0;-2.0;1.0;-3.0;0.0;-1.0;0.0;25.0;-3.0;-10.0;-43.0;355.0;-44.0;-7.0;2.0;25.0;42.49;-83.42;743.0;861.8768818874807;1.0;77.42;216.0;9 / 10;194508;2018-07-25 07:35:16:102
1.0;5.0;8.0;1.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;176.0;-9.0;-5.0;-43.0;3.0;-37.0;-9.0;2.0;25.0;42.49;-83.42;746.0;861.8768818874807;2.0;77.42;206.0;9 / 11;195008;2018-07-25 07:35:16:602
0.0;8.0;6.0;2.0;8.0;6.0;-3.0;0.0;0.0;-1.0;0.0;0.0;48.0;-20.0;-21.0;-42.0;8.0;-51.0;-22.0;2.0;29.0;42.49;-83.42;746.0;861.8768818874807;2.0;77.42;206.0;9 / 11;195508;2018-07-25 07:35:17:102
4.0;6.0;10.0;2.0;7.0;7.0;2.0;-1.0;3.0;-1.0;0.0;-1.0;48.0;-19.0;-15.0;-48.0;6.0;-42.0;-19.0;2.0;27.0;42.49;-83.42;754.0;861.8768818874807;2.0;77.42;197.0;10 / 11;196008;2018-07-25 07:35:17:602
