X,Y,Z,ms,Date
1,-10,3,62007,2018-07-25 07:33:03:601
-1,-9,1,62508,2018-07-25 07:33:04:102
3,-10,2,63008,2018-07-25 07:33:04:602
1,-10,-1,63508,2018-07-25 07:33:05:102
1,-10,1,64007,2018-07-25 07:33:05:601
1,-9,3,64508,2018-07-25 07:33:06:102
0,-10,0,65007,2018-07-25 07:33:06:601
4,-10,-4,65508,2018-07-25 07:33:07:102
2,-9,2,66008,2018-07-25 07:33:07:602
0,-10,0,66508,2018-07-25 07:33:08:102
2,-10,-1,67007,2018-07-25 07:33:08:601
1,-10,-1,67507,2018-07-25 07:33:09:101
1,-10,-1,68008,2018-07-25 07:33:09:602
2,-10,-1,68507,2018-07-25 07:33:10:101
1,-10,-1,69008,2018-07-25 07:33:10:602
1,-10,-1,69508,2018-07-25 07:33:11:102
1,-10,-1,70008,2018-07-25 07:33:11:602
1,-10,-1,70508,2018-07-25 07:33:12:102
1,-10,0,71007,2018-07-25 07:33:12:601
1,-10,0,71507,2018-07-25 07:33:13:101
1,-10,-1,72007,2018-07-25 07:33:13:601
1,-10,-1,72508,2018-07-25 07:33:14:102
2,-9,0,73008,2018-07-25 07:33:14:602
1,-10,0,73508,2018-07-25 07:33:15:102
-1,-10,0,74007,2018-07-25 07:33:15:601
-1,-12,1,74508,2018-07-25 07:33:16:102
1,-9,4,75008,2018-07-25 07:33:16:602
1,-8,1,75507,2018-07-25 07:33:17:101
1,-10,0,76008,2018-07-25 07:33:17:602
1,-10,-1,76508,2018-07-25 07:33:18:102
2,-10,-1,77008,2018-07-25 07:33:18:602
2,-9,0,77508,2018-07-25 07:33:19:102
1,-10,-1,78007,2018-07-25 07:33:19:601
1,-10,-1,78508,2018-07-25 07:33:20:102
1,-10,-1,79007,2018-07-25 07:33:20:601
1,-10,0,79507,2018-07-25 07:33:21:101
1,-10,-1,80008,2018-07-25 07:33:21:602
1,-10,-1,80507,2018-07-25 07:33:22:101
1,-10,0,81007,2018-07-25 07:33:22:601
1,-10,-1,81508,2018-07-25 07:33:23:102
1,-10,0,82007,2018-07-25 07:33:23:601
2,-10,0,82507,2018-07-25 07:33:24:101
2,-10,0,83008,2018-07-25 07:33:24:602
1,-10,-1,83508,2018-07-25 07:33:25:102
1,-10,-1,84007,2018-07-25 07:33:25:601
1,-10,0,84508,2018-07-25 07:33:26:102
2,-10,0,85007,2018-07-25 07:33:26:601
2,-10,0,85508,2018-07-25 07:33:27:102
1,-10,0,86008,2018-07-25 07:33:27:602
2,-10,-1,86507,2018-07-25 07:33:28:101
2,-10,-1,87008,2018-07-25 07:33:28:602
1,-10,-1,87508,2018-07-25 07:33:29:102
1,-10,0,88008,2018-07-25 07:33:29:602
1,-10,-1,88507,2018-07-25 07:33:30:101
2,-10,0,89007,2018-07-25 07:33:30:601
2,-10,1,89508,2018-07-25 07:33:31:102
2,-10,1,90008,2018-07-25 07:33:31:602
2,-9,0,90507,2018-07-25 07:33:32:101
2,-9,1,91007,2018-07-25 07:33:32:601
2,-10,0,91507,2018-07-25 07:33:33:101
2,-10,0,92008,2018-07-25 07:33:33:602
2,-9,0,92508,2018-07-25 07:33:34:102
2,-10,0,93008,2018-07-25 07:33:34:602
2,-10,0,93508,2018-07-25 07:33:35:102
1,-10,0,94008,2018-07-25 07:33:35:602
2,-10,0,94507,2018-07-25 07:33:36:101
2,-10,0,95007,2018-07-25 07:33:36:601
2,-10,0,95508,2018-07-25 07:33:37:102
2,-10,1,96008,2018-07-25 07:33:37:602
2,-10,1,96508,2018-07-25 07:33:38:102
2,-10,1,97007,2018-07-25 07:33:38:601
2,-9,2,97507,2018-07-25 07:33:39:101
2,-10,1,98007,2018-07-25 07:33:39:601
1,-10,-1,98508,2018-07-25 07:33:40:102
1,-10,-1,99007,2018-07-25 07:33:40:601
3,-10,-1,99507,2018-07-25 07:33:41:101
2,-10,0,100007,2018-07-25 07:33:41:601
1,-9,0,100507,2018-07-25 07:33:42:101
0,-10,0,101008,2018-07-25 07:33:42:602
-1,-11,0,101508,2018-07-25 07:33:43:102
-1,-10,0,102007,2018-07-25 07:33:43:601
-2,-11,-2,102507,2018-07-25 07:33:44:101
1,-10,-1,103008,2018-07-25 07:33:44:602
1,-9,1,103508,2018-07-25 07:33:45:102
2,-9,1,104008,2018-07-25 07:33:45:602
1,-10,0,104507,2018-07-25 07:33:46:101
1,-10,0,105008,2018-07-25 07:33:46:602
1,-10,0,105507,2018-07-25 07:33:47:101
1,-10,0,106007,2018-07-25 07:33:47:601
1,-10,-1,106507,2018-07-25 07:33:48:101
1,-10,-1,107007,2018-07-25 07:33:48:601
1,-10,-1,107508,2018-07-25 07:33:49:102
1,-10,-1,108007,2018-07-25 07:33:49:601
0,-10,0,108508,2018-07-25 07:33:50:102
0,-10,1,109007,2018-07-25 07:33:50:601
1,-11,5,109507,2018-07-25 07:33:51:101
-1,-9,2,110008,2018-07-25 07:33:51:602
